tank,sample_date,temperature,conductivity,free_chlorine,total_chlorine,sample_type,replicate,NNA_30_degrees,NNA_naegleria_spp,NNA_naegleria_fowleri,NNA_acanthamoeba_spp,NNA_NTM,NNA_meiothermus,NNA_legionella_spp,NNA_42_degrees,total_DNA_naegleria_spp,total_DNA_naegleria_fowleri,total_DNA_acanthamoeba_spp,total_DNA_NTM,total_DNA_legionella_spp,waresh_e_coli,waresh_enterococcus,waresh_pseudomonas_aeruginosa,waresh_mycobacterium_intracellulare,waresh_mycobacterium_avium,waresh_legionella_spp,waresh_legionella_pneumophila,waresh_acanthamoeba_spp
WallistonLHL,2017-07-31T00:00:00Z,12,56,0.57,0.69,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WallistonLHL,2017-07-31T00:00:00Z,12,56,0.57,0.69,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WallistonLHL,2017-07-31T00:00:00Z,12,56,0.57,0.69,sediment,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WallistonLHL,2017-07-31T00:00:00Z,12,56,0.57,0.69,bulk_water,4,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,sediment,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,sediment,4,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,bulk_water,5,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
Werton,2017-08-01T00:00:00Z,12.5,55,0.96,1.19,sediment,6,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,sediment,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,bulk_water,4,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,sediment,5,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Waterwhell,2017-08-09T00:00:00Z,16.5,69,0.76,0.87,sediment,6,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,sediment,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,POS
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,sediment,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG,NEG,POS,POS,NEG,POS
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,bulk_water,4,NEG,NA,NA,NA,NA,NA,NA,NEG,N. dobsoni,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,bulk_water,5,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Carawarth,2017-08-24T00:00:00Z,16,70,0.91,1.09,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG,POS
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,sediment,4,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,sediment,5,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
WestTerrace,2017-08-22T00:00:00Z,19.5,69,0.78,0.96,sediment,6,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,bulk_water,1,POS,Vermamoeba,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,POS
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,sediment,5,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Armadale,2017-08-31T00:00:00Z,17,69,0.65,0.84,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,5,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,6,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,5,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,1,POS,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,POS
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,Tetramitus & Vahlkampfia,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,5,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
