tank,tube_label,name,sample_type,date,temperature,conductivity,free_chlorine,total_chlorine,NNA_growth_ 42_degrees ,NNA_growth_ 30_degrees ,NNA_30_naegleria_general,NNA_30_naegleria_fowleri_specific ,NNA_30_acanthamoebae_general,NNA_30_NTM,NNA_30_meiothermus,NNA_30_legionella_general,total_DNA_naegleria_general,total_DNA_naegleria_fowleri_specific,total_DNA_acanthamoebae_general,total_DNA_NTM,total_DNA_legionella_general
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #1,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #2,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #3,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 2 #1,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 2 #2,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Weston Road Tank 2,WR Tank 2 #1,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Weston Road Tank 2,WR Tank 2 #2,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Weston Road Tank 2,WR Tank 2 #3,WRT,Post ,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,NEG,NEG
Weston Road Tank 2,WR Tank 2 #4,WRT,Post ,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,POS,NEG
Weston Road Tank 2,WR Tank 2 #5,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Weston Road Tank 2,WR Tank 2 #6,WRT,Post ,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Waterwheel Road Tank,WWR Tank 1,WWRT,Post ,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Waterwheel Road Tank,WWR Tank 2,WWRT,Pre,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Waterwheel Road Tank,WWR Tank 3,WWRT,Pre,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Waterwheel Road Tank,WWR Tank 4,WWRT,Pre,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Waterwheel Road Tank,WWR Tank 5,WWRT,Post ,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Waterwheel Road Tank,WWR Tank 6,WWRT,Post ,9/8/17,16.5,69,0.76,0.87,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Carawartha Tank,Carawa Tank 1,CT,Post ,24/8/17,16,70,0.91,1.09,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Carawartha Tank,Carawa Tank 2,CT,Post ,24/8/17,16,70,0.91,1.09,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Carawartha Tank,Carawa Tank 3,CT,Pre,24/8/17,16,70,0.91,1.09,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Carawartha Tank,Carawa Tank 4,CT,Pre,24/8/17,16,70,0.91,1.09,NEG,NEG,NA,NA,NA,NA,NA,NA,N. dobsoni,NEG,NEG,POS,NEG
Carawartha Tank,Carawa Tank 5,CT,Pre,24/8/17,16,70,0.91,1.09,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Carawartha Tank,Carawa Tank 6,CT,Post ,24/8/17,16,70,0.91,1.09,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
West Terrace Tank,West TCE Tank 1,WTT,Pre,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
West Terrace Tank,West TCE Tank 2,WTT,Pre,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
West Terrace Tank,West TCE Tank 3,WTT,Pre,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
West Terrace Tank,West TCE Tank 4,WTT,Post ,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,NEG,NEG
West Terrace Tank,West TCE Tank 5,WTT,Post ,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
West Terrace Tank,West TCE Tank 6,WTT,Post ,22/8/17,19.5,69,0.78,0.96,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 1,AST,Pre,31/8/17,17,69,0.65,0.84,NEG,POS,Vermamoeba,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 2,AST,Pre,31/8/17,17,69,0.65,0.84,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 3,AST,Pre,31/8/17,17,69,0.65,0.84,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 4,AST,Post ,31/8/17,17,69,0.65,0.84,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,NEG,POS,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 5,AST,Post ,31/8/17,17,69,0.65,0.84,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,NEG,POS,NEG
Armadale UHL Tank - Spinebill Cl,Armadale Tank 6,AST,Post ,31/8/17,17,69,0.65,0.84,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,POS,POS,NEG
Melville French Road Tank,French Rd Tank 1,MFRT,Pre,5/9/17,18.5,82,0.64,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NA,NEG
Melville French Road Tank,French Rd Tank 2,MFRT,Pre,5/9/17,18.5,82,0.64,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Melville French Road Tank,French Rd Tank 3,MFRT,Pre,5/9/17,18.5,82,0.64,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Melville French Road Tank,French Rd Tank 4,MFRT,Post ,5/9/17,18.5,82,0.64,0.69,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,Unknown,NEG,NEG,NA,NEG
Melville French Road Tank,French Rd Tank 5,MFRT,Post ,5/9/17,18.5,82,0.64,0.69,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG
Melville French Road Tank,French Rd Tank 6,MFRT,Post ,5/9/17,18.5,82,0.64,0.69,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG
"Raymond Road Tank, Walliston",Walliston Tank 1,WRRT,Pre,7/9/17,13,53,0.64,0.68,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road Tank, Walliston",Walliston Tank 2,WRRT,Pre,7/9/17,13,53,0.64,0.68,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,POS,NEG
"Raymond Road Tank, Walliston",Walliston Tank 3,WRRT,Pre,7/9/17,13,53,0.64,0.68,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
"Raymond Road Tank, Walliston",Walliston Tank 4,WRRT,Post ,7/9/17,13,53,0.64,0.68,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG
"Raymond Road Tank, Walliston",Walliston Tank 5,WRRT,Post ,7/9/17,13,53,0.64,0.68,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG
"Raymond Road Tank, Walliston",Walliston Tank 6,WRRT,Post ,7/9/17,13,53,0.64,0.68,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 1,LCRT,Pre,14/9/17,16.5,48,0.96,0.99,NEG,POS,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 2,LCRT,Pre,14/9/17,16.5,48,0.96,0.99,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 3,LCRT,Pre,14/9/17,16.5,48,0.96,0.99,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,NEG,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 4,LCRT,Post ,14/9/17,16.5,48,0.96,0.99,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,Vahlkampfia,NEG,NEG,POS,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 5,LCRT,Post ,14/9/17,16.5,48,0.96,0.99,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,Unknown,NEG,POS,POS,NEG
"Canning Road Tank, Lesmurdie",Lesmurdie Tank 6,LCRT,Post ,14/9/17,16.5,48,0.96,0.99,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni ,NEG,POS,POS,NEG
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,